年份,营业收入,毛利,归母净利润,经营活动现金流量净额,购建长期资产支付的现金,总资产,总负债,归母权益,毛利率,归母净利率,销售费用率,管理费用率,研发费用率,财务费用率,三费费率,ROA,ROE,资产负债率,流动比率,现金比率,经营现金流/归母净利润,资本开支/收入
2020,4958502600.0,2310655100.0,812063500.0,1340363200.0,645368800.0,4361286400.0,2448033100.0,1913253400.0,0.46599856577669235,0.16377192178945313,0.20981078037551096,0.037087083507831575,0.007167990594579904,-0.0032128449423420693,0.2540658544779224,0.21087117691335405,0.4577024294912266,0.5613098694917169,0.9197062670941653,0.5750478485219106,1.6505645186614102,0.13015397027320305
2021,6977822474.41,3096257681.8399997,1192960407.59,2076844037.67,609483991.45,7790491158.98,3552365618.2799997,4238125540.7,0.4437283541097539,0.17096456838289928,0.1961047837026983,0.036063198211599284,0.006133568905909835,-0.0016328815130773875,0.2383015508202074,0.1963433582946749,0.3878676371884338,0.45598737560792085,0.8349790399948145,0.2984122460347409,1.7409161481441016,0.08734587239574823
2022,8505389730.5,3599928401.7700005,1440520571.36,2026105140.73,792692471.88,11869648285.86,6805357274.900001,5064291010.96,0.42325260991401675,0.16936561603924494,0.17039502368515244,0.030042711221532542,0.0051443662449819115,0.00482511499535806,0.2055821011516669,0.1465422537212043,0.30970889410514335,0.5733411059034532,1.080601911875609,0.3217502729035838,1.4065089947428853,0.09319884179292047
2023,11262794083.29,4851140323.180001,2039772803.92,3281269652.65,917723628.09,14710049912.67,8386292064.3,6323757848.37,0.43072263306113145,0.18110717365829326,0.17363998317003096,0.032726726618119,0.004829239192137641,0.00020293515117985206,0.21119594898028757,0.15348351878824648,0.35823042719892356,0.5701062956337595,1.0896224026537535,0.752757068787923,1.6086446717713427,0.08148276718044388
2024,15838851828.27,7097290825.620001,3326708852.44,5789408508.54,1687480710.01,22676296132.9,14984716162.9,7687803337.75,0.44809376983705285,0.21003472275069324,0.16927235739049407,0.026874029916125055,0.0039568081436396185,-0.012029642903781826,0.20010319545025873,0.17796383997436357,0.4748519894750163,0.6608096875732435,0.8558833082933874,0.38077017313640615,1.7402810902113404,0.10654059576452993
