年份,营业收入,毛利,归母净利润,经营活动现金流量净额,购建长期资产支付的现金,总资产,总负债,归母权益,毛利率,归母净利率,销售费用率,管理费用率,研发费用率,财务费用率,三费费率,ROA,ROE,资产负债率,流动比率,现金比率,经营现金流/归母净利润,资本开支/收入
2020,4958502600.0,2310655100.0,812063500.0,1340363200.0,645368800.0,4361286400.0,2448033100.0,1913253400.0,0.4659985657766923,0.1637719217894531,0.2098107803755109,0.0370870835078315,0.0071679905945799,-0.003212844942342,0.2540658544779224,0.210871176913354,0.4577024294912266,0.5613098694917169,0.9197062670941653,0.5750478485219106,1.6505645186614102,0.130153970273203
2021,6977822474.41,3096257681.84,1192960407.59,2076844037.67,609483991.45,7790491158.98,3552365618.28,4238125540.7,0.4437283541097539,0.1709645683828992,0.1961047837026983,0.0360631982115992,0.0061335689059098,-0.0016328815130773,0.2383015508202074,0.1963433582946749,0.3878676371884338,0.4559873756079208,0.8349790399948145,0.2984122460347409,1.7409161481441016,0.0873458723957482
2022,8505389730.5,3599928401.7700005,1440520571.36,2026105140.73,792692471.88,11869648285.86,6805357274.900001,5064291010.96,0.4232526099140167,0.1693656160392449,0.1703950236851524,0.0300427112215325,0.0051443662449819,0.004825114995358,0.2055821011516669,0.1465422537212043,0.3097088941051433,0.5733411059034532,1.080601911875609,0.3217502729035838,1.4065089947428853,0.0931988417929204
2023,11262794083.29,4851140323.180001,2039772803.92,3281269652.65,917723628.09,14710049912.67,8386292064.3,6323757848.37,0.4307226330611314,0.1811071736582932,0.1736399831700309,0.032726726618119,0.0048292391921376,0.0002029351511798,0.2111959489802875,0.1534835187882464,0.3582304271989235,0.5701062956337595,1.0896224026537535,0.752757068787923,1.6086446717713427,0.0814827671804438
2024,15838851828.27,7097290825.620001,3326708852.44,5789408508.54,1687480710.01,22676296132.9,14984716162.9,7687803337.75,0.4480937698370528,0.2100347227506932,0.169272357390494,0.026874029916125,0.0039568081436396,-0.0120296429037818,0.2001031954502587,0.1779638399743635,0.4748519894750163,0.6608096875732435,0.8558833082933874,0.3807701731364061,1.7402810902113404,0.1065405957645299
2025,20866019000.0,9208290000.0,4415263000.0,6174243000.0,2266157000.0,26720736000.0,17296938000.0,9420959000.0,0.4413055504262696,0.2116006412147904,0.16317621487836276,0.030313113392640926,0.003179236058397148,0.004846731904154788,0.19666856432940083,0.17876632701822964,0.5161405498348466,0.6473226635673508,0.9153731854171626,0.16304121900323745,1.3983862342968019,0.10860514408618147
