a_code,h_code,name,segment,status,title,announcement_date,announcement_id,source_url,pdf_url,local_path,note
301215,,中汽股份,汽车服务,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
601689,,拓普集团,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603009,,北特科技,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603035,,常熟汽饰,内外饰,missing,,,,,,,CNINFO未检索到2026Q1一季报
603089,,正裕工业,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603179,,新泉股份,内外饰,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603197,,保隆科技,汽车电子,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603305,,旭升集团,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603306,,华懋科技,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603319,,湘油泵,动力总成,missing,,,,,,,CNINFO未检索到2026Q1一季报
603358,,华达科技,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603596,,伯特利,制动系统,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603730,,岱美股份,内外饰,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603786,,科博达,汽车电子,missing,,,,,,,CNINFO未检索到2026Q1一季报
603997,,继峰股份,座椅/内饰,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
605128,,上海沿浦,座椅/内饰,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
605133,,嵘泰股份,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
605333,,沪光股份,线束,missing,,,,,,,CNINFO未检索到2026Q1一季报
688533,,上声电子,汽车电子,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
